Date,Region,Country,Product Category,Revenue,Cost,Profit,Returned
2024-04-16,Asia,India,Wearables,3972,2975.8722068408615,996.1277931591385,0
2024-03-28,Asia,Japan,Wearables,3644,2734.015775698063,909.984224301937,0
2024-12-09,Europe,Germany,Smartphones,2633,1699.4862846640738,933.5137153359262,0
2025-07-14,Europe,UK,Laptops,674,507.49721276072097,166.50278723927903,0
2025-11-17,Asia,China,Smartphones,3205,2082.9886179543855,1122.0113820456145,0
2025-10-08,North America,USA,Laptops,3088,1903.0198297846357,1184.9801702153643,0
2024-12-11,Europe,UK,Smartphones,2812,1849.5183594123705,962.4816405876295,0
2024-02-04,Asia,India,Accessories,3352,2228.0576245808143,1123.9423754191857,0
2025-07-19,Europe,UK,Smartphones,4043,2612.6416409224266,1430.3583590775734,1
2024-09-26,Europe,UK,Smartphones,3542,2203.560110566975,1338.4398894330252,0
2025-12-25,North America,Canada,Accessories,537,394.65366877323396,142.34633122676604,0
2025-01-14,North America,Canada,Accessories,692,439.57989092063394,252.42010907936606,0
2025-06-04,North America,USA,Wearables,2227,1499.5995412742677,727.4004587257323,0
2025-11-05,Asia,India,Accessories,4714,3737.342103569387,976.6578964306132,0
2024-01-28,Asia,China,Laptops,400,302.3298126827558,97.6701873172442,0
2025-12-28,Asia,Japan,Smartphones,1004,785.5311507628542,218.46884923714583,0
2025-09-04,Asia,Japan,Laptops,2890,2283.6671976257085,606.3328023742915,0
2025-01-27,Asia,China,Wearables,406,286.99541336339274,119.00458663660726,0
2024-08-28,North America,USA,Wearables,763,565.2448153544951,197.75518464550487,0
2025-10-16,North America,USA,Wearables,3442,2239.934183884269,1202.0658161157312,0
2024-03-26,Asia,Japan,Wearables,2825,2135.9500464944913,689.0499535055087,0
2024-01-28,North America,Canada,Accessories,3827,2694.6958926249727,1132.3041073750273,0
2025-04-17,Europe,France,Accessories,3502,2895.1283005733076,606.8716994266924,0
2025-09-19,Asia,China,Laptops,1482,891.7757643618062,590.2242356381938,0
2024-08-12,North America,Canada,Laptops,4979,3291.275243817917,1687.7247561820832,0
2025-05-11,North America,Canada,Laptops,4859,3215.292697333191,1643.707302666809,0
2025-09-16,Asia,India,Laptops,3199,1948.9003361467878,1250.0996638532122,0
2024-08-12,Europe,UK,Wearables,3674,2829.6279572530534,844.3720427469466,0
2024-09-03,Europe,UK,Accessories,3710,2932.4021932173855,777.5978067826145,0
2025-09-01,Asia,China,Accessories,397,277.7833259126219,119.21667408737812,0
2024-07-05,North America,USA,Accessories,3597,2783.9096665067004,813.0903334932996,0
2025-05-25,Asia,Japan,Smartphones,346,237.75960790073458,108.24039209926542,0
2025-10-01,North America,USA,Accessories,2585,2092.370155942611,492.62984405738916,0
2024-05-30,North America,USA,Smartphones,4261,3297.7843314023485,963.2156685976515,0
2025-07-25,Europe,Germany,Accessories,2249,1909.543642688893,339.456357311107,1
2024-01-09,North America,USA,Accessories,3370,2612.0514717520596,757.9485282479404,0
2025-09-19,Europe,Germany,Accessories,4882,4071.1425104466666,810.8574895533334,0
2025-05-24,Europe,France,Accessories,298,251.3379558382711,46.662044161728886,0
2024-06-11,Europe,UK,Smartphones,3991,3386.8199333199464,604.1800666800536,0
2025-05-18,North America,Canada,Laptops,1418,1083.9237703204717,334.0762296795283,0
2025-01-09,Asia,Japan,Smartphones,1245,822.9417765017398,422.0582234982602,1
2024-10-09,North America,USA,Smartphones,425,292.1958308175593,132.80416918244072,0
2025-10-20,Asia,India,Laptops,4842,3835.534634317787,1006.4653656822129,0
2025-01-07,Europe,Germany,Smartphones,2765,1914.8722015515757,850.1277984484243,0
2024-06-29,North America,USA,Smartphones,806,677.7694253834845,128.23057461651547,0
2024-06-09,Asia,India,Laptops,3527,2544.095529143141,982.904470856859,0
2025-07-23,Europe,France,Smartphones,2095,1293.8804485324486,801.1195514675514,0
2025-09-30,Asia,China,Wearables,354,238.53321707507604,115.46678292492396,0
2024-09-02,North America,USA,Wearables,3006,2119.0653136193764,886.9346863806236,0
2024-02-05,North America,Canada,Smartphones,4980,3229.8710721224925,1750.1289278775075,0
2025-04-15,Europe,UK,Accessories,1366,947.8615783265408,418.1384216734592,0
2024-02-20,Asia,Japan,Smartphones,3936,2514.1609508601,1421.8390491399,1
2024-12-07,Europe,UK,Smartphones,1915,1167.5921291080863,747.4078708919137,0
2024-09-20,Asia,India,Laptops,3324,2220.0521630462054,1103.9478369537946,1
2024-12-15,Asia,China,Laptops,4342,3364.520504787789,977.4794952122111,0
2024-04-15,North America,Canada,Accessories,1893,1155.2352023103972,737.7647976896028,0
2024-12-11,Asia,China,Wearables,940,607.3184134678719,332.6815865321281,0
2025-10-02,Asia,India,Accessories,1281,1061.6971962723803,219.30280372761968,0
2025-08-23,Europe,UK,Accessories,4783,3987.3646873189577,795.6353126810423,0
2025-03-22,North America,USA,Accessories,780,587.2855455156987,192.7144544843013,0
2024-03-26,Europe,France,Laptops,2944,2018.0234347032715,925.9765652967285,0
2025-03-28,Asia,India,Smartphones,3159,1972.6645283741284,1186.3354716258716,0
2024-12-22,Asia,India,Smartphones,2270,1389.2734394818167,880.7265605181833,0
2025-10-20,Europe,France,Smartphones,2689,1950.224061962033,738.7759380379671,0
2024-12-01,North America,Canada,Accessories,4792,3914.104322398894,877.895677601106,0
2025-06-28,Europe,France,Accessories,4200,3371.7643855728033,828.2356144271967,0
2024-06-16,Asia,India,Laptops,4113,2680.3231930432635,1432.6768069567365,0
2024-09-09,Asia,China,Smartphones,2746,2072.0312915979634,673.9687084020366,0
2025-08-24,Europe,Germany,Smartphones,3269,2627.0243673958075,641.9756326041925,0
2025-05-07,Europe,Germany,Smartphones,3346,2741.6053393153798,604.3946606846202,0
2025-11-06,North America,USA,Laptops,3665,2587.005250889814,1077.9947491101861,0
2025-07-01,Asia,India,Wearables,2343,1605.4256737032053,737.5743262967947,0
2025-11-25,North America,Canada,Laptops,2526,1992.0938249844767,533.9061750155233,0
2025-08-18,North America,USA,Smartphones,928,631.0515074391019,296.9484925608981,0
2025-03-20,North America,Canada,Accessories,4371,3010.422646878138,1360.577353121862,1
2025-01-01,Asia,Japan,Smartphones,343,244.25420350964092,98.74579649035908,0
