Fruit,Temp,Humid (%),Light (Fux),CO2 (pmm),Class
Orange,22,95,7.358649263,361,Good
Orange,24,95,14.83589827,370,Bad
Pineapple,25,95,10.10404473,355,Bad
Banana,25,89,20.17964285,388,Good
Tomato,23,90,12.62144823,316,Good
Orange,23,95,5.809598838,347,Good
Pineapple,25,95,10.28117628,365,Bad
Tomato,25,95,14.67251295,380,Bad
Banana,24,95,19.00030193,292,BAD
Pineapple,24,95,14.51078894,315,Good
Tomato,26,93,6.613669965,399,Good
Pineapple,22,84,12.34050263,322,Good
Pineapple,25,95,12.27113269,411,Bad
Orange,24,95,16.38466179,391,Bad
Tomato,24,93,10.58215896,377,Good
Tomato,24,95,16.29477154,348,Bad
Orange,22,95,6.613669965,244,Good
Pineapple,24,95,14.1136139,317,Good
Tomato,25,95,13.80304952,379,Bad
Pineapple,23,93,12.62144823,340,Good
Pineapple,25,95,11.46485093,455,Bad
Orange,23,95,8.775098629,191,Good
Orange,22,95,7.969740423,379,Good
Banana,26,90,19.95991509,299,Good
Tomato,23,87,6.48823229,292,Good
Tomato,23,91,9.987371503,358,Good
Orange,24,95,14.91822038,381,Bad
Tomato,22,93,11.92938136,354,Good
Tomato,23,89,8.619414571,297,Good
Banana,24,94,19.20950925,314,Good
Orange,22,95,4.538130868,342,Good
Pineapple,22,91,12.76402932,338,Good
Tomato,24,92,11.20647613,374,Good
Banana,24,86,13.57421101,335,Good
Pineapple,24,95,14.1136139,315,Good
Tomato,26,88,7.450253315,396,Good
Orange,24,95,14.83589827,406,Bad
Orange,22,95,7.450253315,299,Good
Banana,24,95,12.48027818,249,BAD
Orange,23,95,6.655874013,244,Good
Banana,25,89,19.31496687,383,Good
Pineapple,25,95,11.20647613,320,Bad
Tomato,23,90,12.90803823,332,Good
Pineapple,25,95,11.59594835,427,Bad
Tomato,25,95,12.98058343,387,Bad
Orange,22,95,6.740875089,251,Good
Banana,25,86,13.65010619,346,Good
Orange,22,95,8.516848104,373,Good
Tomato,23,89,8.568009903,310,Good
Tomato,24,95,16.02789778,346,Bad
Orange,22,95,7.000692513,347,Good
Orange,22,95,6.826673276,292,Good
Orange,23,95,4.47356027,331,Good
Pineapple,23,82,12.62144823,331,Good
Orange,22,95,7.404343951,351,Good
Tomato,23,91,13.42356205,338,Good
Pineapple,25,95,11.39978246,314,Bad
Orange,24,95,15.25176672,368,Bad
Orange,24,95,16.02789778,376,Bad
Banana,25,86,13.57421101,349,Good
Orange,23,95,14.75399666,380,Bad
Orange,22,95,6.364536513,256,Good
Tomato,23,90,12.48027818,329,Good
Orange,23,95,4.904260592,348,Good
Banana,24,95,16.38466179,254,BAD
Tomato,24,95,14.35070581,396,Good
Banana,24,95,12.48027818,251,BAD
Orange,24,95,16.29477154,404,Bad
Banana,25,86,13.72638492,348,Good
Tomato,24,95,11.99705843,286,Bad
Tomato,24,95,16.29477154,385,Bad
Orange,23,95,15.50647254,218,Bad
Pineapple,25,95,11.59594835,436,Bad
Orange,22,95,9.039550676,168,Good
Banana,25,85,13.72638492,345,Good
Orange,24,95,14.75399666,382,Bad
Banana,26,95,17.21524677,317,Good
Orange,22,95,7.873279406,166,Good
Banana,25,86,13.27441976,356,Good
Pineapple,25,95,11.01598084,291,Bad
Orange,24,95,15.08413665,364,Bad
Banana,24,95,12.55068787,251,BAD
Tomato,23,90,12.69256136,318,Good
Banana,26,94,14.43054353,302,Good
Tomato,23,90,12.55068787,329,Good
Orange,22,95,7.0889296,292,Good
Tomato,25,95,15.42113219,403,Bad
Orange,23,95,4.904260592,349,Good
Banana,25,89,19.10462223,403,Good
Tomato,26,94,6.48823229,402,Good
Pineapple,22,95,12.90803823,335,Good
Orange,22,95,6.740875089,260,Good
Orange,23,95,14.59144457,398,Bad
Orange,23,95,4.702223982,343,Good
Tomato,22,90,13.20040797,324,Good
Pineapple,25,95,9.987371503,310,Bad
Tomato,24,95,12.98058343,301,Bad
Tomato,26,91,6.956882353,407,Good
Banana,24,95,16.74896501,250,BAD
Banana,26,91,20.40179801,298,Good
Tomato,23,91,8.364807255,371,Good
Tomato,24,89,13.20040797,412,Good
Pineapple,22,95,12.69256136,340,Good
Tomato,23,90,12.76402932,329,Good
Banana,26,95,20.85352641,405,Good
Pineapple,24,95,14.03538213,313,Good
Pineapple,24,95,14.1136139,325,Good
Orange,24,95,16.74896501,388,Bad
Banana,26,90,19.20950925,392,Good
Orange,23,95,4.441500903,336,Good
Tomato,25,95,12.90803823,374,Bad
Orange,22,95,6.869873736,296,Good
Banana,26,95,17.40523312,318,Good
Orange,24,95,14.83589827,421,Bad
Tomato,24,88,10.28117628,242,Good
Banana,25,89,19.00030193,393,Good
Orange,23,95,4.904260592,317,Good
Banana,24,95,12.48027818,254,BAD
Pineapple,25,95,10.04556771,301,Bad
Orange,22,95,7.404343951,352,Good
Orange,23,95,14.43054353,211,Bad
Orange,24,95,14.75399666,407,Bad
Pineapple,22,95,12.90803823,337,Good
Pineapple,23,92,12.76402932,339,Good
Banana,24,95,13.27441976,259,BAD
Orange,24,95,14.91822038,393,Bad
Tomato,26,87,7.542720421,415,Good
Orange,23,95,15.00096563,220,Bad
Tomato,26,88,7.404343951,391,Good
Orange,23,95,14.83589827,403,Bad
Orange,24,95,14.91822038,376,Bad
Orange,23,95,16.20534945,257,Bad
Pineapple,22,95,13.80304952,348,Good
Tomato,23,92,10.22184745,358,Good
Orange,22,95,7.133358572,292,Good
Tomato,23,91,8.465927903,363,Good
Tomato,24,89,8.018312629,291,Good
Pineapple,23,95,12.34050263,336,Good
Orange,22,95,6.956882353,352,Good
Orange,22,95,6.613669965,288,Good
Orange,24,95,15.16773612,373,Bad
Banana,26,95,13.95754575,304,Good
Banana,24,88,14.59144457,321,Good
Orange,24,95,15.00096563,381,Bad
Orange,22,95,8.619414571,177,Good
Banana,25,89,19.95991509,302,Good
Orange,23,95,15.59225501,261,Bad
Pineapple,23,95,12.62144823,330,Good
Orange,24,95,14.67251295,388,Bad
Pineapple,25,95,12.62144823,404,Bad
Tomato,23,87,6.529850053,292,Good
Tomato,24,95,16.11639251,345,Bad
Tomato,23,89,8.0671142,298,Good
Pineapple,25,95,11.46485093,322,Bad
Tomato,24,88,10.16280412,244,Good
Pineapple,23,95,12.98058343,339,Good
Tomato,23,90,12.76402932,328,Good
Orange,22,95,7.358649263,352,Good
Tomato,24,95,13.05349201,299,Bad
Banana,25,87,14.1136139,337,Good
Orange,22,95,9.201267821,181,Good
Tomato,23,89,8.465927903,313,Good
Banana,24,86,13.95754575,336,Good
Tomato,24,95,13.49869706,385,Bad
Pineapple,25,95,9.8718154,321,Bad
Banana,26,90,19.20950925,384,Good
Orange,23,95,15.08413665,253,Bad
Tomato,24,95,14.59144457,313,Bad
Orange,22,95,4.47356027,350,Good
Tomato,25,95,13.95754575,372,Bad
Tomato,25,95,13.05349201,380,Bad
Tomato,25,95,13.88010234,392,Bad
Tomato,24,95,16.38466179,360,Bad
Tomato,22,93,11.862037,354,Good
Pineapple,25,95,11.01598084,316,Bad
Orange,23,95,16.20534945,258,Bad
Tomato,23,91,8.31460431,370,Good
Tomato,24,95,11.862037,280,Bad
Pineapple,25,95,11.72833871,431,Bad
Orange,23,95,8.31460431,177,Good
Pineapple,25,95,11.99705843,438,Bad
Pineapple,24,95,14.03538213,331,Good
Pineapple,23,95,13.3488037,366,Good
Pineapple,22,95,13.42356205,332,Good
Banana,24,95,17.79130513,254,BAD
Banana,25,86,13.65010619,351,Good
Tomato,23,88,7.730278953,294,Good
Banana,24,95,13.3488037,254,BAD
Pineapple,22,91,12.69256136,334,Good
Tomato,25,95,15.33623116,316,Bad
Orange,23,95,8.364807255,175,Good
Pineapple,25,95,9.814452454,326,Bad
Banana,26,95,20.85352641,386,Good
Pineapple,23,95,12.27113269,333,Good
Orange,22,95,4.938486566,356,Good
Tomato,25,91,6.405576451,400,Good
Tomato,23,89,8.619414571,312,Good
Pineapple,23,95,12.41021712,325,Good
Orange,22,95,7.0889296,289,Good
Tomato,23,92,9.814452454,356,Good
Orange,24,95,16.38466179,256,Bad
Banana,25,86,12.41021712,344,Good
Banana,25,87,14.27127328,328,Good
Tomato,25,93,6.48823229,394,Good
Orange,24,95,15.59225501,372,Bad
Pineapple,23,95,13.57421101,361,Good
Banana,26,94,13.49869706,307,Good
Orange,23,95,16.20534945,258,Bad
Orange,23,95,16.11639251,257,Bad
Pineapple,25,95,13.20040797,405,Bad
Banana,26,94,15.33623116,304,Good
Orange,24,95,15.08413665,374,Bad
Tomato,24,95,11.07916988,356,Good
Pineapple,25,95,10.04556771,294,Bad
Tomato,23,94,10.76627794,380,Good
Pineapple,24,95,14.1136139,333,Good
Banana,24,93,18.69070341,318,Good
Pineapple,22,83,12.62144823,321,Good
Orange,22,86,7.22284254,298,Good
Banana,26,95,15.25176672,309,Good
Tomato,24,95,14.67251295,315,Bad
Banana,24,95,12.55068787,251,BAD
Pineapple,25,95,11.14266773,317,Bad
Tomato,23,90,13.12676612,336,Good
Orange,22,95,7.404343951,361,Good
Pineapple,24,95,6.698275399,437,Bad
Tomato,26,84,8.415248038,405,Good
Tomato,24,76,17.69401633,459,Good
Orange,22,95,6.446808067,282,Good
Tomato,25,95,15.67848238,315,Bad
Pineapple,24,95,13.95754575,316,Good
Orange,23,95,17.5009837,408,Bad
Pineapple,24,95,13.95754575,336,Good
Pineapple,23,95,12.34050263,325,Good
Tomato,25,95,15.42113219,406,Bad
Pineapple,24,95,14.1136139,302,Good
Tomato,24,95,11.59594835,365,Good
Pineapple,24,95,13.88010234,402,Bad
Tomato,25,93,6.48823229,410,Good
Tomato,25,93,6.529850053,394,Good
Tomato,23,89,8.264637967,297,Good
Pineapple,24,95,14.1136139,345,Good
Banana,25,86,13.80304952,348,Good
Tomato,25,95,13.3488037,377,Bad
Pineapple,24,95,14.03538213,330,Good
Tomato,25,95,15.33623116,385,Bad
Orange,22,95,6.405576451,255,Good
Orange,24,95,15.67848238,257,Bad
Banana,26,90,19.00030193,384,Good
Banana,24,95,16.47502321,250,BAD
Orange,23,95,15.85228317,257,Bad
Pineapple,25,95,14.35070581,407,Bad
Orange,23,95,17.12100442,248,Bad
Orange,23,95,13.88010234,246,Bad
Pineapple,22,90,12.83585424,333,Good
Orange,23,95,14.51078894,213,Bad
Tomato,22,92,11.14266773,353,Good
Orange,24,95,14.83589827,370,Bad
Tomato,25,95,12.83585424,371,Bad
Tomato,23,87,5.925488904,282,Good
Tomato,23,90,12.55068787,329,Good
Banana,24,95,12.27113269,256,BAD
Pineapple,22,95,12.62144823,322,Good
Orange,23,95,19.95991509,342,Bad
Banana,26,90,19.20950925,400,Good
Orange,22,95,4.870193845,346,Good
Tomato,24,89,13.80304952,393,Good
Pineapple,24,95,14.1136139,301,Good
Orange,23,95,16.56585884,247,Bad
Orange,23,95,4.570643409,335,Good
Banana,24,95,12.41021712,252,BAD
Tomato,25,95,12.76402932,300,Bad
Tomato,24,88,10.40069682,244,Good
Orange,22,95,7.044707922,301,Good
Tomato,23,88,7.825388265,295,Good
Pineapple,25,95,11.39978246,344,Bad
Banana,26,94,15.50647254,306,Good
Tomato,24,89,8.165410187,289,Good
Orange,22,95,8.264637967,369,Good
Tomato,26,83,8.165410187,425,Good
Orange,22,95,7.0889296,297,Good
Pineapple,23,84,12.62144823,346,Good
Tomato,25,95,13.80304952,379,Bad
Orange,22,95,7.358649263,357,Good
Tomato,23,90,12.69256136,312,Good
Orange,23,95,15.76515749,424,Bad
Tomato,24,89,13.80304952,406,Good
Tomato,23,93,11.01598084,391,Good
Orange,22,95,8.214906999,371,Good
Pineapple,25,95,9.929454577,314,Bad
Tomato,26,91,6.446808067,391,Good
Pineapple,22,95,12.76402932,328,Good
Orange,23,95,15.59225501,403,Bad
Tomato,25,93,6.529850053,395,Good
Banana,24,94,19.74258151,322,Good
Tomato,24,89,13.49869706,403,Good
Tomato,24,93,11.20647613,373,Good
Tomato,25,95,15.85228317,310,Bad
Tomato,23,89,7.313168177,291,Good
Pineapple,25,95,11.53023895,317,Bad
Orange,22,95,9.201267821,180,Good
Tomato,24,89,13.42356205,401,Good
Banana,24,95,12.41021712,256,BAD
Orange,23,95,15.76515749,256,Bad
Orange,23,95,14.75399666,376,Bad
Orange,23,95,15.16773612,394,Bad
Pineapple,22,89,12.69256136,322,Good
Orange,22,95,7.873279406,163,Good
Orange,24,95,14.75399666,406,Bad
Banana,24,88,14.67251295,322,Good
Tomato,24,95,15.93986231,340,Bad
Banana,26,90,19.74258151,375,Good
Orange,23,95,14.83589827,218,Bad
Tomato,22,92,10.16280412,357,Good
Orange,22,95,6.242557594,245,Good
Orange,23,95,7.542720421,299,Good
Orange,22,95,5.43477585,303,Good
Orange,23,95,7.873279406,177,Good
Tomato,26,87,7.730278953,402,Good
Pineapple,25,95,12.34050263,409,Bad
Banana,24,95,16.93400512,258,BAD
Tomato,23,90,12.48027818,308,Good
Tomato,22,91,10.28117628,361,Good
Tomato,25,93,6.446808067,403,Good
Pineapple,22,90,12.41021712,321,Good
Pineapple,24,95,14.03538213,310,Good
Tomato,22,93,11.59594835,356,Good
Pineapple,23,95,13.12676612,358,Good
Tomato,23,90,12.55068787,326,Good
Orange,22,95,6.162179985,266,Good
Pineapple,23,95,12.27113269,326,Good
Banana,26,94,15.25176672,307,Good
Banana,24,95,15.50647254,251,BAD
Orange,23,95,8.364807255,174,Good
Banana,24,95,16.93400512,253,BAD
Orange,22,95,8.018312629,177,Good
Pineapple,25,95,10.04556771,306,Bad
Pineapple,25,95,10.16280412,357,Bad
Tomato,24,89,12.90803823,336,Good
Pineapple,22,81,12.69256136,343,Good
Pineapple,25,95,10.76627794,291,Bad
Orange,24,95,15.67848238,399,Bad
Orange,22,95,6.655874013,253,Good
Orange,23,95,14.59144457,360,Bad
Tomato,25,95,14.19224347,383,Bad
Orange,22,95,5.042126986,357,Good
Banana,24,95,19.20950925,306,BAD
Pineapple,25,95,11.14266773,310,Bad
Tomato,24,89,13.72638492,400,Good
Orange,23,95,8.214906999,179,Good
Orange,23,95,15.93986231,254,Bad
Tomato,23,91,8.31460431,372,Good
Pineapple,25,95,10.10404473,294,Bad
Pineapple,23,85,12.69256136,332,Good
Pineapple,25,95,10.04556771,288,Bad
Orange,23,95,5.398243871,360,Good
Tomato,24,95,11.99705843,367,Good
Orange,22,95,7.589280351,300,Good
Orange,22,95,7.404343951,360,Good
Orange,22,95,9.8718154,360,Good
Pineapple,25,95,11.07916988,308,Bad
Banana,24,95,17.88911347,257,BAD
Orange,23,95,17.21524677,257,Bad
Tomato,25,95,15.50647254,320,Bad
Tomato,25,95,15.50647254,391,Bad
Banana,24,88,15.00096563,322,Good
Banana,26,94,14.1136139,306,Good
Banana,26,91,20.06947764,301,Good
Orange,22,95,6.698275399,248,Good
Orange,22,95,6.162179985,244,Good
Banana,25,89,18.89654455,387,Good
Pineapple,25,95,11.01598084,295,Bad
Orange,23,95,4.570643409,343,Good
Tomato,24,95,16.56585884,358,Bad
Pineapple,25,95,10.16280412,308,Bad
Orange,24,95,14.91822038,368,Bad
Orange,23,95,6.446808067,253,Good
Tomato,24,95,12.98058343,302,Bad
Tomato,24,91,8.364807255,360,Good
Tomato,23,90,12.90803823,321,Good
Pineapple,24,95,11.66198098,434,Bad
Orange,24,95,15.50647254,380,Bad
Pineapple,22,95,12.83585424,341,Good
Pineapple,24,95,13.88010234,319,Good
Pineapple,24,95,14.19224347,309,Good
Tomato,26,93,6.48823229,408,Good
Banana,24,95,16.11639251,250,BAD
Pineapple,25,95,9.929454577,310,Bad
Pineapple,25,95,11.53023895,334,Bad
Banana,24,95,20.17964285,321,Good
Banana,24,95,17.30998858,263,BAD
Orange,23,95,15.08413665,217,Bad
Orange,24,95,14.75399666,373,Bad
Pineapple,24,95,14.1136139,304,Good
Orange,23,95,15.67848238,252,Bad
Banana,25,87,14.1136139,327,Good
Tomato,24,95,14.83589827,316,Bad
Pineapple,23,95,12.90803823,343,Good
Pineapple,25,95,9.814452454,327,Bad
Tomato,23,90,12.90803823,328,Good
Tomato,24,95,12.90803823,302,Bad
Banana,24,95,17.12100442,249,BAD
Pineapple,25,95,9.987371503,349,Bad
Orange,24,95,16.02789778,379,Bad
Orange,23,95,15.93986231,257,Bad
Orange,22,95,10.22184745,205,Good
Orange,23,95,14.83589827,213,Bad
Orange,22,95,6.364536513,251,Good
Orange,22,95,6.446808067,254,Good
Banana,25,86,18.48706888,395,Good
Orange,22,95,7.000692513,300,Good
Orange,23,95,14.83589827,216,Bad
Banana,24,95,15.85228317,250,BAD
Pineapple,22,95,12.76402932,332,Good
Orange,22,95,5.007419045,354,Good
Pineapple,25,95,9.8718154,306,Bad
Orange,22,95,4.802535216,341,Good
Orange,22,95,6.202275223,254,Good
Banana,24,95,12.20210529,250,BAD
Tomato,25,95,7.730278953,199,Good
Orange,23,95,14.83589827,218,Bad
Orange,22,95,7.404343951,354,Good
Tomato,24,94,11.14266773,390,Good
Tomato,23,91,13.12676612,335,Good
Orange,22,95,6.740875089,256,Good
Orange,23,95,16.65717174,244,Bad
Tomato,23,95,14.43054353,312,Bad
Tomato,23,89,12.76402932,349,Good
